,id,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93
40888,40889,0,0,11,6,0,0,0,0,1,0,8,0,0,0,0,3,0,0,0,0,4,1,0,1,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,14,0,0,0,0,0,0,1,17,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
16809,16810,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9398,9399,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,0,2,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,15,0,0,0,4,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
22470,22471,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,1,1,1,0,0,0,0,0,0,0,2,0,19,0,1,7,0,0,0,1,0,2,4,1,0,0,1,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0
3654,3655,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4898,4899,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0
42385,42386,0,0,5,12,0,0,0,0,1,0,7,0,0,0,0,3,0,3,0,0,1,1,0,2,0,3,4,2,0,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,9,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,1,0,2,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,2,0,0,0,0
13697,13698,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
42684,42685,0,0,3,2,0,0,0,0,0,0,7,0,0,0,0,23,0,0,0,0,2,2,0,15,0,2,3,3,0,0,0,3,0,1,1,0,0,0,2,0,0,1,0,9,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,15,0,1,0,0,0,0,1,0,0,0,0,1,0
27813,27814,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0
45462,45463,0,2,1,1,1,0,0,1,0,0,2,2,3,0,1,2,0,3,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,1,0,4,3,0,10,0,0,5,0,1,0,0,0,0,1,0,0,0,0,1,1,4,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
30517,30518,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29604,29605,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23151,23152,0,0,1,1,0,0,0,0,0,1,0,0,0,4,0,1,0,2,0,0,2,1,1,0,3,1,4,0,0,0,1,0,1,0,3,0,0,1,0,4,0,0,5,0,0,1,0,0,1,0,0,0,0,3,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,5,0,3,1,0,0,1,0
59859,59860,7,0,1,0,0,0,0,0,2,0,0,0,2,0,0,12,0,5,0,0,0,6,0,1,4,1,0,0,1,0,0,4,1,0,1,0,2,1,0,5,1,3,2,1,0,0,0,2,1,0,0,0,5,3,0,0,0,0,14,3,0,10,0,0,0,9,4,1,0,5,4,2,0,1,1,0,0,0,2,0,0,0,0,0,1,9,5,2,0,0,0,1,0
50797,50798,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25146,25147,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,5,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,15,1,1,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2250,2251,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
39903,39904,0,0,4,13,0,0,0,0,0,0,7,2,1,0,0,1,0,0,0,0,2,1,0,0,0,2,10,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,8,0,1,0,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
31446,31447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16242,16243,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,1,0,0,0,0
215,216,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,5,0,1,0,0,0,3,4,0,0,0,4,0,0,3,2,0,0,0,1,0,0,3,2,0,0,1,0,0,0,2,0,0,0,0,21,8,2,2,0,0,0,1,0,16,0,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0
23914,23915,0,0,0,0,0,0,0,1,1,1,0,1,0,4,1,0,0,0,0,1,0,1,0,2,7,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7617,7618,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
22397,22398,0,0,0,0,0,0,0,0,17,0,0,0,0,1,2,0,0,0,0,0,0,0,0,9,1,0,0,0,0,4,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
12214,12215,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,11,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,5,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,3,0,23,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0
24301,24302,0,0,0,1,0,0,0,0,13,0,0,1,2,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,11,0,0,7,0,0,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
52507,52508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,17,0,1,0,0,0,3,0,1,2,0,0,0,1,0,0,18,0,0,0,0,0,1,8,0,0,0
7665,7666,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16642,16643,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
61403,61404,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,17,0,0
39236,39237,0,0,15,5,0,1,0,1,0,0,7,1,0,0,0,2,0,0,0,0,1,1,0,14,0,1,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,6,0,0,0,0,1,1,0,12,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,3,0,2,0,0,0,0,0,0,1,0,0,1,0
34151,34152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22158,22159,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,2,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
41294,41295,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,6,0,2,1,4,0,0,0,0,1,3,1,0,4,0,0,4,1,1,0,10,0,3,1,1,0,1,4,0,0,0,0,6,1,0,0,0,0,12,0,0,0,2,0,2,6,0,0,8,2,3,0,0,0,0,0,1,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0
61435,61436,1,0,0,0,0,0,0,18,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,1,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,10,0,0,6,0,0,1,0,8,2,6,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
677,678,0,1,0,1,0,0,1,2,0,2,0,0,2,0,0,1,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,2,1,1,1,1,0,0,0,2,0,0,1,0,1,1,0,5,2,2,0,0,4,0,3,0,3,0,0,1,0,0,0,1,3,0,3,4,1,0,0,0,0,0,0,0,0,1,0
32582,32583,0,0,4,1,0,0,0,0,1,1,11,0,0,0,1,3,0,0,0,0,6,0,0,16,0,0,6,2,1,0,0,4,0,0,2,2,1,0,1,2,2,0,2,2,0,1,0,3,0,0,0,5,0,2,0,0,1,1,0,1,1,0,0,0,0,1,4,0,0,1,0,0,0,67,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0
60395,60396,4,1,0,0,0,0,0,38,0,0,1,4,0,0,0,1,3,2,0,1,0,0,0,4,3,0,0,0,11,0,0,0,1,0,1,14,2,2,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,1,4,5,0,0,0,1,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
23012,23013,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0
52397,52398,1,0,1,0,0,0,3,4,0,2,1,1,1,0,0,4,0,6,0,3,0,6,0,20,1,0,0,0,5,1,0,6,0,2,0,8,1,2,1,3,0,1,0,3,0,0,15,3,0,0,0,0,2,5,3,0,1,0,0,0,0,0,1,1,1,2,28,0,5,1,1,2,4,4,0,10,0,53,0,0,1,0,2,0,1,0,0,0,1,0,5,0,0
12372,12373,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
17357,17358,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
8269,8270,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
51046,51047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
11275,11276,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23085,23086,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,8,3,0,0,0,0,1,1,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,1,1,0,1,0,0,0
42014,42015,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23070,23071,3,0,2,0,0,0,0,0,0,0,0,1,0,9,0,2,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,16,1,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,3,0,0,0,6,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,9,0,0,0,0
3045,3046,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35472,35473,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,3,2,8,0,1,0,8,2,4,0,2,2,0,1,0,2,0,0,0,4,1,2,2,1,2,0,4,0,3,1,0,0,4,2,0,0,0,0,12,2,0,8,0,0,13,0,1,0,0,0,2,10,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,1,5,1,0,1,0,0,0
44625,44626,0,2,2,3,1,0,0,0,1,0,11,0,0,0,0,3,0,3,0,1,1,2,0,3,0,3,0,2,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,2,0,2,1,0,0,0,0,6,0,1,2,0,0,4,1,1,0,0,0,3,2,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1
27647,27648,0,0,0,0,0,2,0,0,1,2,0,0,0,4,0,0,0,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0
57613,57614,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,1,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47480,47481,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3971,3972,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16176,16177,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,2,0,1,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35540,35541,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,7,0,3,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,9,0,0,0,0,0,2,1,0,0,0,0,4,3,0,8,0,0,10,0,0,0,0,0,3,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1
